hidden_layers,hidden_units,dropout_rate,learning_rate,weight_decay,batch_size,optimizer,scheduler,best_val_loss
5,894,0.23015850495169643,0.0004565786668013037,7.23052747980232e-05,439,AdamW,plateau,0.876900941964517
5,846,0.2572378152976774,5.8781145149623114e-05,4.059731517886468e-06,469,AdamW,plateau,0.8747121354218217
4,864,0.35147456872599325,0.0001309788692822343,1.7818633799430643e-06,354,AdamW,plateau,0.8762879637700683
3,893,0.39051694058964775,7.395902817180106e-05,2.834398272098146e-06,410,AdamW,plateau,0.880208003244839
5,755,0.3438608513682644,0.0007589602056109129,1.126552758177157e-06,333,AdamW,plateau,0.8797651801767269
3,774,0.31606388717123,0.0001691146957051334,9.298955830366289e-05,493,AdamW,plateau,0.878188026862867
6,874,0.34014427820016313,6.537652452325254e-05,2.05951799298168e-06,307,AdamW,plateau,0.8741659416640427
5,851,0.35744794252388623,1.6110545560795636e-05,3.0339980612853228e-06,452,AdamW,plateau,0.8945880574123386
6,618,0.34208399557385205,0.00017514219500859414,3.767382899798994e-05,338,AdamW,plateau,0.876780304770865
3,723,0.38109635145669196,6.527721516350747e-05,7.173092652633427e-06,354,AdamW,plateau,0.8798863501869214
6,661,0.2711926436447144,1.286237638865092e-05,0.0002593595975957549,254,AdamW,plateau,0.9217520566395019
6,822,0.27107803102115796,3.258571384553672e-05,1.3120870054569625e-05,281,AdamW,plateau,0.8784760880163371
4,813,0.2217083116923823,3.478394924969961e-05,6.62196197580382e-06,292,AdamW,plateau,0.8775680866449693
6,802,0.2835092287933009,3.8875545959820447e-05,5.007362102628623e-06,394,AdamW,plateau,0.8772247348450108
5,701,0.24360834164828754,0.0002789174487963575,1.5769788598659177e-05,489,AdamW,plateau,0.8750784694576869
4,846,0.20055170819221707,6.511322039802326e-05,1.1685792424804509e-06,310,AdamW,plateau,0.8747848859444309
6,797,0.31650819223856064,2.2711739279039668e-05,3.971829503257844e-06,448,AdamW,plateau,0.887469164703968
5,899,0.30004361752986786,8.412779036289261e-05,1.0472662569062221e-05,389,AdamW,plateau,0.8755031755937697
6,857,0.2544101711317882,0.0003017737294350957,2.7184080494483186e-05,252,AdamW,plateau,0.874712238553774
5,777,0.3172350342313141,4.379753782861664e-05,2.5322999129429577e-06,430,AdamW,plateau,0.8813725587900637
4,832,0.36802211491561526,0.00012368056082414953,1.7926914426993518e-06,312,AdamW,plateau,0.8805771090879522
6,865,0.2505443975330264,0.00035643968532408856,2.9993785012094092e-05,256,AdamW,plateau,0.8765328759181883
6,874,0.25304246405190534,0.0007638683116625943,6.469386014974711e-05,279,AdamW,plateau,0.8771728118521586
6,837,0.2879943040334933,0.00022624268373568624,2.1315536539232028e-05,473,AdamW,plateau,0.8766767316250261
5,878,0.2654204774954532,5.595843753463162e-05,0.0002075335080946155,305,AdamW,plateau,0.8756949724318989
6,784,0.21647682933304158,0.00010640539906946548,8.059600372848359e-06,273,AdamW,plateau,0.8737705328355289
5,738,0.21570670529394198,0.00010906872520156915,8.695651558378474e-06,363,AdamW,plateau,0.8738645327019987
6,721,0.2238793654356543,0.0001036383047138731,8.497644770008706e-06,332,AdamW,plateau,0.8741441131359218
6,716,0.20082017205780775,0.00010605134356600092,9.97396212945213e-06,365,AdamW,plateau,0.8751898299266223
5,685,0.22565794707946313,0.0005564086146616935,4.6487280981105825e-05,328,AdamW,plateau,0.8738748749015113
5,672,0.23478987785824204,0.0004848609431026561,5.9954389774336487e-05,379,AdamW,plateau,0.8759258708029801
5,737,0.21895518166037295,0.0004609652775180449,0.00012685628395603282,332,AdamW,plateau,0.875835668850733
5,684,0.21331063196181138,0.0001751620958662928,1.7570806179556197e-05,325,AdamW,plateau,0.8740849575485653
4,680,0.23396617416317192,0.0001637274607937166,4.356294948741511e-05,350,AdamW,plateau,0.8751230673272549
5,638,0.21060488539612537,0.0002140677094951899,2.120547862313956e-05,275,AdamW,plateau,0.8729389453222703
5,634,0.20966594559327373,0.0005888869845154815,0.000428539073379634,286,AdamW,plateau,0.8738001165100873
4,606,0.21030143018659345,0.00023640931053597625,0.0004551316178021167,275,AdamW,plateau,0.8736588094294441
4,610,0.20480932191234116,0.0009273197306100043,0.0004127377149000773,275,AdamW,plateau,0.8753767094848852
3,633,0.23970695401272288,0.00026273273359296025,0.00042753018838524156,270,AdamW,plateau,0.8762266606171597
4,643,0.21001037641235948,0.0001960520916549911,0.00011250780520106718,291,AdamW,plateau,0.8740586032577059
4,603,0.22992947062208635,0.0003575466360487787,0.00021911076976721168,265,AdamW,plateau,0.8731498924389319
4,601,0.22897442132979326,0.00034286003388163714,0.000295339793325211,291,AdamW,plateau,0.8729630970750878
4,601,0.22998618094203016,0.00033315943969730843,0.00019564538241616654,266,AdamW,plateau,0.8739178751546678
4,623,0.24478016719762502,0.00036611692076036914,0.000311905478353861,264,AdamW,plateau,0.8752649810399303
3,652,0.2291071633365877,0.00013619013806756046,0.00017330589686406113,298,AdamW,plateau,0.8754215670717118
4,600,0.21664200209756965,0.00023452420641472432,0.00029731116427417735,265,AdamW,plateau,0.8738649948138725
4,614,0.264770961873956,0.0003868105858048312,0.00013394361821441543,296,AdamW,plateau,0.8739434605012006
3,623,0.24342789273412985,0.00014537257234840386,0.00048486974919439253,280,AdamW,plateau,0.8778724561894176
4,774,0.22236438717729448,0.0002120379953620463,8.370283720476772e-05,314,AdamW,plateau,0.8756111351859432
4,663,0.20664404308377773,8.712493158766034e-05,0.00025432661445028056,259,AdamW,plateau,0.8731625564671189
4,661,0.2074209474330081,0.0006256264796878594,0.000276621019226617,251,AdamW,plateau,0.8736909491412054
4,654,0.20763314921765202,0.000654627558221344,0.0002658326956077216,255,AdamW,plateau,0.8774423605948467
4,633,0.20571899803798813,0.0004496111749992076,0.00015428592559531284,261,AdamW,plateau,0.8750658317560571
4,664,0.20010596150754484,0.00027578472356475374,0.00023116978431031343,286,AdamW,plateau,0.8737772242417551
4,641,0.2366067980289287,8.246038281329641e-05,0.00032764335182458446,252,AdamW,plateau,0.8752075904729127
4,611,0.22529621109444167,0.0007402526461860899,0.0003422401699258772,272,AdamW,plateau,0.8736521713710458
3,613,0.39656422527127044,0.0009869868857869113,0.0003595203766075858,300,AdamW,plateau,0.8917826666051781
4,600,0.23054246232191308,0.0007745425225847563,9.747660516364965e-05,275,AdamW,plateau,0.8760740891864041
4,625,0.3307932966352926,0.0002872877319773459,0.00016458959854562727,317,AdamW,plateau,0.8767197528404977
4,649,0.28032162398211463,0.0004086070521272015,0.00023599823649223407,288,AdamW,plateau,0.8775388422389409
3,610,0.24581639588153625,5.18064063414295e-05,0.000200227044791002,262,AdamW,plateau,0.8763419217189599
4,664,0.21240515222990872,0.000534172569989417,0.0003535719807668211,272,AdamW,plateau,0.8734223854932225
4,633,0.22263531335356468,0.0005321615893969469,0.00038993953034907456,281,AdamW,plateau,0.8739779515559605
4,706,0.2164012034267172,0.0007103575228007363,0.0003122109627944689,271,AdamW,plateau,0.8755300975027919
4,620,0.22696730480406196,0.0003165400832476142,0.0004562188680285445,420,AdamW,plateau,0.8745015064992536
4,609,0.2591711951528286,0.0008444083111492828,0.0002253534535812806,307,AdamW,plateau,0.8762713522774239
4,643,0.2121678632741188,0.000515249251612125,0.0004971027188414006,260,AdamW,plateau,0.876981829587391
4,669,0.2196151872426542,0.000245433051533856,2.6841640899522756e-05,284,AdamW,plateau,0.8756736388474519
5,698,0.3013785345193152,0.00039965607470592425,0.00035460951329161644,295,AdamW,plateau,0.8775354370290145
4,629,0.23712569552440715,0.00019816313086214117,1.3630423837086399e-05,273,AdamW,plateau,0.8755029884432755
5,618,0.20118863814599863,8.447974857789602e-05,0.00026537562872743924,303,AdamW,plateau,0.8758244186433131
4,661,0.20948068155221705,0.0006267888190944838,0.00028508629113440206,250,AdamW,plateau,0.8741588631705852
4,656,0.21290663043826036,0.000445829625088659,0.00018158101183111036,258,AdamW,plateau,0.8730154107870272
4,678,0.2260491343932896,0.00045827782846940185,0.0001392288117557642,267,AdamW,plateau,0.8745118680144348
4,641,0.2149824409591613,0.0003191080969892179,0.0001908720980872072,277,AdamW,plateau,0.8746502784131093
4,607,0.22091964237921974,0.0004203038347500753,2.0903597436097792e-05,261,AdamW,plateau,0.8767052656449059
4,650,0.2490601809396488,2.5882821014113893e-05,0.00036268772554689263,290,AdamW,plateau,0.8771411822886198
4,695,0.23238531601897394,0.000352886743002824,3.651602110756967e-05,269,AdamW,plateau,0.8736533290470515
5,696,0.23313935068656913,1.0100102197898278e-05,3.554412442503891e-05,259,AdamW,plateau,0.8797114907675135
4,676,0.23938123900559885,0.0003465647792127606,8.372949902165422e-05,270,AdamW,plateau,0.8735990407641709
